9096
 0.462041  0.181576  0.868071  2.68 CAS
-0.101209 -0.789054 -0.605930  2.69 SCO
 0.227243  0.805653  0.547068  2.69 AUR
-0.351480 -0.057531 -0.934426  2.69 MUS
-0.617583  0.204336 -0.759498  2.69 VEL
-0.263435  0.752851 -0.603173  2.70 PUP
-0.669485 -0.587055  0.455144  2.70 BOO
 0.079360 -0.863884 -0.497399  2.70 SGR
 0.439562 -0.879126  0.184180  2.72 AQL
-0.443926 -0.893744 -0.064435  2.74 OPH
-0.194005 -0.435700  0.878935  2.74 DRA
-0.752587 -0.276141 -0.597796  2.75 CEN
-0.706075 -0.651994 -0.276337  2.75 LIB
-0.407984  0.142561 -0.901790  2.76 CAR
-0.071821 -0.994234  0.079628  2.77 OPH
-0.355255 -0.859996  0.366334  2.77 HER
 0.106419  0.988976 -0.102966  2.77 ORI
-0.444760 -0.607363 -0.658255  2.78 LUP
 0.224700  0.970386 -0.088658  2.79 ERI
-0.078672 -0.606426  0.791238  2.79 DRA
 0.219235  0.024738 -0.975358  2.80 HYI
-0.517657 -0.034258 -0.854902  2.80 CRU
-0.481413  0.773849 -0.411581  2.81 PUP
 0.109952 -0.896455 -0.429277  2.81 SGR
-0.286800 -0.801958  0.524032  2.81 HER
-0.316203 -0.822483 -0.472798  2.82 SCO
 0.963482  0.055709  0.261913  2.83 PEG
-0.945854 -0.263094  0.190110  2.83 VIR
 0.129148  0.926115 -0.354444  2.84 LEP
-0.085366 -0.559500 -0.824423  2.85 ARA
-0.231801 -0.382530 -0.894393  2.85 TRA
 0.443250  0.724251  0.528195  2.85 PER
 0.413577  0.235828 -0.879397  2.86 HYI
 0.448211 -0.212583 -0.868283  2.86 TUC
 0.803468 -0.526576 -0.277771  2.87 CAP
 0.311961 -0.632770  0.708719  2.87 CYG
 0.498864  0.764419  0.408410  2.87 TAU
-0.092392  0.919157  0.382903  2.88 GEM
-0.340606  0.777765  0.528269  2.88 GEM
-0.452850 -0.775361 -0.440162  2.89 SCO
 0.389161  0.659698  0.642925  2.89 PER
 0.279769 -0.890520 -0.358752  2.89 SGR
-0.235031 -0.277409 -0.931561  2.89 TRA
-0.376910 -0.819352 -0.431972  2.89 SCO
-0.761250 -0.189901  0.620030  2.90 CVN
-0.367288  0.918866  0.144173  2.90 CMI
 0.793708 -0.600503 -0.097081  2.91 AQR
-0.137167  0.619529 -0.772896  2.93 PUP
 0.411646  0.429249  0.803923  2.93 PER
 0.815777 -0.284876  0.503343  2.94 PEG
-0.078980 -0.639585 -0.764653  2.95 ARA
 0.493388  0.837857 -0.233591  2.95 ERI
-0.950614 -0.124580 -0.284276  2.95 CRV
 0.878352 -0.477982 -0.005580  2.96 AQR
-0.762796  0.505594  0.403133  2.98 LEO
-0.172481  0.888756  0.424691  2.98 GEM
 0.021852 -0.862023 -0.506398  2.99 SGR
 0.180740  0.698473  0.692437  2.99 AUR
 0.273345 -0.931596  0.239606  2.99 AQL
 0.090833  0.928253  0.360689  3.00 TAU
 0.691850  0.438821  0.573393  3.00 TRI
-0.922177 -0.040766 -0.384613  3.00 CRV
